,0,1,2,3
721,0.6,2.87,0.0,2.29
722,0.0,2.69,0.09,2.83
723,0.17,2.99,0.0,2.92
724,0.6,4.33,0.0,3.95
725,0.0,2.95,0.0,2.92
726,5.0,4.74,0.0,4.68
727,4.7,5.0,0.21,5.0
728,1.5,3.33,0.03,3.86
729,0.0,0.4,0.0,0.0
730,0.0,1.91,1.14,1.16
731,4.59,3.62,0.0,3.28
732,1.83,4.06,0.31,1.07
733,3.58,3.05,0.0,3.24
734,5.0,4.68,0.09,5.0
735,5.0,3.64,0.17,5.0
736,5.0,5.0,0.15,4.52
737,4.74,4.51,0.0,4.85
738,4.62,4.91,0.31,4.96
739,5.0,4.89,0.0,4.76
740,4.62,4.54,0.23,4.95
741,4.22,4.94,0.27,5.0
742,5.0,4.09,0.0,4.79
743,4.81,4.16,0.0,4.72
744,4.43,5.0,0.0,4.89
745,4.28,4.62,0.3,5.0
746,5.0,5.0,0.0,4.61
747,5.0,4.74,0.35,5.0
748,5.0,5.0,0.07,5.0
749,4.98,4.87,0.04,5.0
750,4.77,4.69,0.0,4.94
751,4.73,5.0,0.0,5.0
752,3.95,3.65,0.0,4.89
753,5.0,5.0,0.85,5.0
754,5.0,4.8,0.0,4.88
755,5.0,4.96,0.65,5.0
756,5.0,4.9,0.5,4.65
757,4.37,4.57,0.0,5.0
758,5.0,5.0,0.3,4.11
759,4.75,4.93,0.08,5.0
760,3.71,3.72,0.0,3.7
761,5.0,4.99,0.0,5.0
762,5.0,4.91,0.0,5.0
763,3.41,3.44,0.03,1.53
764,4.62,4.81,0.29,4.43
765,4.42,5.0,0.0,5.0
766,5.0,4.45,0.0,4.4
767,4.39,4.93,0.16,4.69
768,4.6,4.84,0.09,5.0
769,4.43,5.0,0.09,5.0
770,4.54,4.88,0.38,5.0
771,4.93,4.96,0.03,5.0
772,4.99,5.0,0.0,5.0
773,4.86,4.86,0.13,0.36
